1,はじまりのトキメキ
2,Cutest♡ガール
3,大好きを叫ぶ
4,未知なるミチ
5,今しかできないことを
6,笑顔のカタチ（⸝⸝>▿<⸝⸝）
7,ハルカカナタ
8,しずく、モノクローム
9,仲間でライバル
10,夏、はじまる。
11,みんなの夢、私の夢
12,花ひらく想い
13,みんなの夢を叶える場所（スクールアイドルフェスティバル）
